replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,centroid_error_mean,centroid_error_max,cluster_size_error_mean_abs,silhouette
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.500725,random_forest,1,12.0255879429169,0.948682665021949,0.9617605217252413,0.13160045944832008,0.2506683620957538,0.0016000000000000014,0.5797307940785874
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.097575,random_forest,1,4.924621673766524,0.948682665021949,0.9899203933134635,0.005628749173747468,0.00879877611595853,0.0,0.5705221992865518
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.30315,random_forest,1,8.716227898839861,0.948682665021949,0.9630292720291275,0.03298566999505866,0.06781508775507049,0.002200000000000002,0.5653461097316143
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.498175,random_forest,1,9.606688842177391,0.948682665021949,0.8483121883160571,0.10618567383681268,0.30465327876458653,0.004800000000000004,0.5438424130461499
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.098925,random_forest,1,5.028397347778082,0.948682665021949,0.9849403569445921,0.025788957493763753,0.05556423526829181,0.0018000000000000017,0.572075086952706
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.303225,random_forest,1,4.421952022239566,0.948682665021949,0.9540657365193843,0.05997293041030487,0.1005131727327854,0.0050000000000000044,0.587271311938666
3,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.5013,random_forest,1,5.689947105944157,0.948682665021949,0.9175558447862758,0.13037818580802804,0.20833345092493766,0.004800000000000004,0.5653738163441192
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.0997,random_forest,1,4.980691991280764,0.948682665021949,0.996841135446384,0.022511746233081453,0.04176852348432006,0.00040000000000000034,0.5720010592093058
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.299675,random_forest,1,6.791509275790304,0.948682665021949,0.9785290797482644,0.08225013114253953,0.1411333992126546,0.0014000000000000013,0.5789812245856456
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.50365,random_forest,1,11.68142630904913,0.948682665021949,0.9449045029284825,0.16738035877020171,0.3328785359854408,0.0018000000000000017,0.5844929373576769
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.100125,random_forest,1,5.030625932849944,0.948682665021949,0.9966303569404281,0.008395082512772432,0.01637894856572305,0.0,0.5692406788053369
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.3014,random_forest,1,13.257235817145556,0.948682665021949,0.9518912103954242,0.05891941022248738,0.15573057868116688,0.0006000000000000005,0.557954204094995
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.4971,random_forest,1,9.55861670523882,0.948682665021949,0.8892347064344694,0.16859797724916536,0.550166751844392,0.005200000000000005,0.5352615404329863
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.098225,random_forest,1,7.627560594119132,0.948682665021949,0.9865958375517635,0.011503580366036584,0.020343430071358717,0.001200000000000001,0.5678940354009262
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.3027,random_forest,1,6.576312687247992,0.948682665021949,0.964215633420333,0.05776941868385924,0.07005722989115297,0.004200000000000004,0.5742246166680681
4,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.5028,random_forest,1,7.885018193162978,0.948682665021949,0.8020712460681109,0.3350487923755308,1.153090204743584,0.011000000000000005,0.5086858985135003
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.10055,random_forest,1,5.1104174251668155,0.948682665021949,0.9951099632215179,0.02488373066634885,0.04247181879629208,0.0006000000000000005,0.5715234897934015
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.303925,random_forest,1,8.887669990304857,0.948682665021949,0.9784594037458592,0.060829997325194306,0.11969439811549012,0.0014000000000000013,0.5799780604805251
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.499925,random_forest,1,9.729139204137027,0.948682665021949,0.9474385977635228,0.13967482580467017,0.3436927842667456,0.0034000000000000002,0.589481273034941
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.1,0.0998,random_forest,1,4.991503351833671,0.948682665021949,0.9949501774541187,0.007089063392120695,0.010242817805613102,0.00020000000000000017,0.5708564453725272
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.3,0.301425,random_forest,1,8.921796347014606,0.948682665021949,0.945791462207744,0.03678311951806973,0.0701608255184714,0.0026000000000000025,0.5642088336556883
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MAR,0.5,0.5024,random_forest,1,6.00569751765579,0.948682665021949,0.8215436145134003,0.2262325070754847,0.7900127575117474,0.008600000000000002,0.5105898975353449
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.0991,random_forest,1,9.866496488917619,0.948682665021949,0.9894130960782338,0.020965625678775197,0.028410772810549528,0.0010000000000000009,0.570852762752839
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.29885,random_forest,1,8.750365335028619,0.948682665021949,0.9614883892204519,0.04050171950946515,0.0670021383892843,0.004400000000000004,0.5738071997906381
5,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.503375,random_forest,1,7.740889506880194,0.948682665021949,0.9521758615320125,0.1329998206660848,0.2243999990896917,0.0014000000000000013,0.5737621011637758
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.1001,random_forest,1,4.981698124669492,0.948682665021949,0.9910961582424346,0.018632587816866213,0.028067945264957248,0.00040000000000000034,0.5713813266479775
