replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,ari_vs_full_data_kmeans_within_variance,ari_vs_full_data_kmeans_between_variance,ari_vs_full_data_kmeans_total_variance,ari_vs_full_data_kmeans_rubin_se,ari_vs_full_data_kmeans_within_variance_available,centroid_error_mean,centroid_error_mean_within_variance,centroid_error_mean_between_variance,centroid_error_mean_total_variance,centroid_error_mean_rubin_se,centroid_error_mean_within_variance_available,centroid_error_max,centroid_error_max_within_variance,centroid_error_max_between_variance,centroid_error_max_total_variance,centroid_error_max_rubin_se,centroid_error_max_within_variance_available,cluster_size_error_mean_abs,cluster_size_error_mean_abs_within_variance,cluster_size_error_mean_abs_between_variance,cluster_size_error_mean_abs_total_variance,cluster_size_error_mean_abs_rubin_se,cluster_size_error_mean_abs_within_variance_available,silhouette,silhouette_within_variance,silhouette_between_variance,silhouette_total_variance,silhouette_rubin_se,silhouette_within_variance_available
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.30065,mice_pmm,10,36.166621750220656,0.948682665021949,0.9335205849162364,0.0,3.6886702602498214e-05,4.057537286274804e-05,0.006369880129386113,False,0.16577806704955225,0.0,9.348229841175334e-05,0.00010283052825292868,0.010140538854169864,False,0.2810174791906793,0.0,0.0002314726506953143,0.0002546199157648457,0.015956814085676556,False,0.002660000000000002,1.4203077e-05,1.3248888888888913e-06,1.566045477777778e-05,0.003957329248088637,True,0.5243302581874215,2.63337410263845e-05,6.4355116087710924e-06,3.34128037960327e-05,0.0057803809386607645,True
6,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.502375,mice_pmm,10,51.256128476932645,0.948682665021949,0.7900635497899591,0.0,0.00035831977822209707,0.00039415175604430683,0.019853255552787982,False,0.5490703852691011,0.0,0.0038246954701434558,0.004207165017157802,0.06486266273564324,False,1.196673834115709,0.0,0.047486980046037804,0.05223567805064159,0.22855125913160398,False,0.009000000000000001,1.4326106999999999e-05,2.332444444444443e-05,3.998299588888887e-05,0.0063232108844232665,True,0.43939214103998303,1.5650210206427308e-05,5.8958443583596734e-05,8.050449814838372e-05,0.008972429890970657,True
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.1009,mice_pmm,10,14.430751114152372,0.948682665021949,0.9902232486827796,0.0,5.539694248886252e-06,6.093663673774878e-06,0.002468534722011193,False,0.02780444253374051,0.0,9.558366482435101e-06,1.0514203130678612e-05,0.0032425611992187,False,0.041958320262557816,0.0,1.3405282691074965e-05,1.4745810960182462e-05,0.0038400274686755122,False,0.0007000000000000006,1.4239128e-05,2.5111111111111154e-07,1.4515350222222223e-05,0.0038099016026955632,True,0.5652673304998401,3.3864851163452965e-05,3.268211805968285e-06,3.745988415001808e-05,0.0061204480350721124,True
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.29955,mice_pmm,10,36.1123975221999,0.948682665021949,0.9296452902720777,0.0,4.201140575379263e-05,4.6212546329171895e-05,0.006797981048015057,False,0.16111224587724476,0.0,0.00021397976721731585,0.00023537774393904746,0.015342025418407032,False,0.23830658596523505,0.0,0.00016805235771154083,0.00018485759348269492,0.013596234533233638,False,0.0046400000000000035,1.4166103e-05,2.2737777777777807e-06,1.6667258555555558e-05,0.00408255539528315,True,0.5334197625411409,2.717937273340119e-05,1.8482168378821147e-05,4.750975795010445e-05,0.006892732255797004,True
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.4978,mice_pmm,10,51.06086691888049,0.948682665021949,0.7904737389178649,0.0,0.0004988190912467668,0.0005487010003714435,0.023424367662147116,False,0.564115920193957,0.0,0.002044302051735192,0.0022487322569087116,0.047420799834130924,False,1.203712596052035,0.0,0.026391547324850675,0.029030702057335746,0.17038398415736072,False,0.007100000000000002,1.4336831999999999e-05,1.631333333333334e-05,3.2281498666666673e-05,0.0056816809719190215,True,0.440681627489961,1.5727129072070137e-05,0.00015676816290531497,0.00018817210826791662,0.013717583907813963,True
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.1011,mice_pmm,10,14.258746882900596,0.948682665021949,0.9886379255852484,0.0,7.77790869433302e-06,8.555699563766323e-06,0.0029250127459151906,False,0.03983180607038998,0.0,2.998198766325539e-05,3.298018642958093e-05,0.00574283783765317,False,0.07250704094206886,0.0,0.00013159339581347124,0.0001447527353948184,0.012031323094108079,False,0.0006400000000000006,1.4244870000000004e-05,1.2266666666666687e-07,1.4379803333333337e-05,0.003792071113960462,True,0.5652126862665094,3.368975500833312e-05,1.6247732780866192e-06,3.54770056142284e-05,0.00595625768534475,True
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.302425,mice_pmm,10,35.70576142333448,0.948682665021949,0.9300961672587673,0.0,0.00010382408923118229,0.00011420649815430052,0.0106867440389625,False,0.18361491046574155,0.0,0.0003991634434298262,0.00043907978777280883,0.020954230784564935,False,0.32243631823154606,0.0,0.0019488577360053567,0.0021437435096058927,0.04630057785390904,False,0.003280000000000003,1.4195742000000002e-05,2.09066666666667e-06,1.649547533333334e-05,0.004061462216164683,True,0.5214099751622763,2.6685676645036828e-05,2.1017662819556838e-05,4.980510574654935e-05,0.007057273251515017,True
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.5,0.501,mice_pmm,10,50.00323714874685,0.948682665021949,0.8154605059789841,0.0,0.00020319444468620224,0.0002235138891548225,0.014950380903335624,False,0.4852626749836353,0.0,0.0009670762380009079,0.0010637838618009988,0.032615699621516614,False,1.0145037375701853,0.0,0.017120058102030256,0.018832063912233285,0.13722996725290465,False,0.006080000000000004,1.4330322e-05,6.295111111111126e-06,2.1254944222222237e-05,0.004610308473651436,True,0.455418663271864,1.6770059947071016e-05,4.0655314289154756e-05,6.149090566514125e-05,0.007841613715629026,True
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.1,0.100975,mice_pmm,10,14.427079217042774,0.948682665021949,0.9927136612618035,0.0,7.3072105236529585e-06,8.037931576018255e-06,0.002835124613842971,False,0.041323417003304067,0.0,1.9296714836042145e-05,2.122638631964636e-05,0.004607210253466447,False,0.07832594187002066,0.0,0.00021166847718113074,0.00023283532489924382,0.015258942456777396,False,0.0006200000000000005,1.4242582e-05,1.6400000000000028e-07,1.4422982000000001e-05,0.003797760129339398,True,0.5652344162899279,3.356352849895288e-05,1.8688376751096927e-06,3.561924994157354e-05,0.005968186486829441,True
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MNAR,0.3,0.298375,mice_pmm,10,34.96427310490981,0.948682665021949,0.9343049230265329,0.0,6.76780252491955e-05,7.444582777411505e-05,0.008628199567355582,False,0.17967269025050628,0.0,0.00021128742496005778,0.00023241616745606357,0.01524520145672282,False,0.3132260814940963,0.0,0.0014147499765258418,0.0015562249741784262,0.03944901740447316,False,0.0030000000000000027,1.4188841e-05,9.688888888888904e-07,1.5254618777777779e-05,0.0039057161670784245,True,0.5187111158978278,2.567972624845049e-05,2.0474267876966327e-05,4.8201420913113454e-05,0.006942724314929511,True
