replication,n_synthetic,synthetic_source,mechanism,target_missing_rate,observed_missing_rate,method,n_imputed_datasets,runtime_seconds,ari_true_gmm_vs_benchmark,ari_vs_full_data_kmeans,ari_vs_full_data_kmeans_within_variance,ari_vs_full_data_kmeans_between_variance,ari_vs_full_data_kmeans_total_variance,ari_vs_full_data_kmeans_rubin_se,ari_vs_full_data_kmeans_within_variance_available,centroid_error_mean,centroid_error_mean_within_variance,centroid_error_mean_between_variance,centroid_error_mean_total_variance,centroid_error_mean_rubin_se,centroid_error_mean_within_variance_available,centroid_error_max,centroid_error_max_within_variance,centroid_error_max_between_variance,centroid_error_max_total_variance,centroid_error_max_rubin_se,centroid_error_max_within_variance_available,cluster_size_error_mean_abs,cluster_size_error_mean_abs_within_variance,cluster_size_error_mean_abs_between_variance,cluster_size_error_mean_abs_total_variance,cluster_size_error_mean_abs_rubin_se,cluster_size_error_mean_abs_within_variance_available,silhouette,silhouette_within_variance,silhouette_between_variance,silhouette_total_variance,silhouette_rubin_se,silhouette_within_variance_available
7,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.497325,mice_pmm,10,49.8506509331055,0.948682665021949,0.8784412139884779,0.0,6.012258191308882e-05,6.613484010439771e-05,0.008132333005011398,False,0.28989604579765316,0.0,0.0006155020345860915,0.0006770522380447006,0.02602022747872702,False,0.4853935906216611,0.0,0.0038533751145143433,0.004238712625965778,0.06510539628913857,False,0.005260000000000002,1.4201215e-05,2.4537777777777807e-06,1.6900370555555557e-05,0.004111006027185506,True,0.5277426021006497,3.464242895335394e-05,9.057395289376737e-06,4.460556377166835e-05,0.006678739684376713,True
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.100625,mice_pmm,10,14.378014338202775,0.948682665021949,0.9919542898155177,0.0,3.150804838763506e-06,3.465885322639857e-06,0.0018616888361484734,False,0.03341185649309013,0.0,1.80305560172815e-05,1.983361161900965e-05,0.004453494315591932,False,0.06193731628715837,0.0,0.0001519534181884083,0.00016714876000724913,0.012928602399611844,False,0.0004800000000000004,1.4250187000000002e-05,3.733333333333339e-08,1.429125366666667e-05,0.0037803774502907336,True,0.5651100615306481,3.521467328363062e-05,6.994958623313641e-07,3.598411873219512e-05,0.0059986764150264955,True
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.30305,mice_pmm,10,35.84961989335716,0.948682665021949,0.9427608206194625,0.0,2.8360364929188003e-05,3.119640142210681e-05,0.005585373883824324,False,0.1396576697195581,0.0,8.256098629073144e-05,9.08170849198046e-05,0.009529799836292712,False,0.20131030176394166,0.0,0.0010486796622334736,0.001153547628456821,0.03396391656533182,False,0.003840000000000002,1.4261786999999999e-05,2.2044444444444457e-07,1.4504275888888888e-05,0.0038084479632638922,True,0.5482341304616789,3.432793672730742e-05,3.4493708631217418e-06,3.8122244676741336e-05,0.006174321394027148,True
8,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.50365,mice_pmm,10,52.68727655522525,0.948682665021949,0.8868208356309786,0.0,6.4576838879093e-05,7.10345227670023e-05,0.008428198073550615,False,0.224703632845612,0.0,0.0007282965652168903,0.0008011262217385794,0.02830417322125095,False,0.3298609270343854,0.0,0.0009962151258667592,0.0010958366384534353,0.03310342336456209,False,0.0049000000000000024,1.4204014e-05,9.8888888888889e-07,1.529179177777778e-05,0.003910472065848033,True,0.5296374413577095,3.506006079322065e-05,2.0507534340731068e-05,5.761834856802483e-05,0.007590675106209251,True
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.10125,mice_pmm,10,14.526674723252654,0.948682665021949,0.9906742567387447,0.0,5.497322563828778e-06,6.047054820211657e-06,0.002459076009441688,False,0.037445955114646365,0.0,1.495521295455174e-05,1.6450734250006915e-05,0.004055950474304009,False,0.06168732229176862,0.0,5.501016176021829e-05,6.051117793624012e-05,0.0077788931048215415,False,0.0007800000000000006,1.4240706999999998e-05,1.1066666666666686e-07,1.4362440333333332e-05,0.0037897810402889153,True,0.5653768942444632,3.576457234631532e-05,4.056045299375981e-07,3.621073732924668e-05,0.006017535818692455,True
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.296825,mice_pmm,10,36.56754490081221,0.948682665021949,0.9571207055931925,0.0,1.3030500001289437e-05,1.4333550001418381e-05,0.003785967511933823,False,0.11269900922016862,0.0,5.2694375261243473e-05,5.7963812787367826e-05,0.007613396928268473,False,0.17750274374752253,0.0,0.0002638480205517397,0.00029023282260691365,0.017036220901564807,False,0.0023000000000000017,1.4231543000000002e-05,2.511111111111113e-07,1.4507765222222224e-05,0.003808906040088443,True,0.5496901700053776,3.54265094293649e-05,9.731725722428809e-07,3.649699925883207e-05,0.0060412746385868,True
9,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.5014,mice_pmm,10,50.98474624985829,0.948682665021949,0.8800678134262923,0.0,0.0001316105625280839,0.0001447716187808923,0.01203210782784514,False,0.23005207221272855,0.0,0.00017932178225866355,0.00019725396048452993,0.01404471290146331,False,0.3169704564949823,0.0,0.0010475720770150771,0.0011523292847165848,0.03394597597236799,False,0.006180000000000003,1.4217017999999999e-05,2.857333333333337e-06,1.736008466666667e-05,0.0041665434915126795,True,0.5294980249237905,3.382215579708903e-05,6.9300468826808715e-06,4.144520736803799e-05,0.0064377952256994,True
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.1,0.101525,mice_pmm,10,14.419871247373521,0.948682665021949,0.9861392824803283,0.0,1.2525767652233663e-05,1.377834441745703e-05,0.0037119192363866205,False,0.04634790016718157,0.0,7.047854955927588e-05,7.752640451520347e-05,0.008804907978803837,False,0.08410825247418177,0.0,0.0002218444873218309,0.000244028936054014,0.015621425544873106,False,0.000960000000000001,1.4244675e-05,2.4711111111111156e-07,1.4516497222222222e-05,0.003810052128543942,True,0.5641813468460851,3.5631455121825045e-05,3.9847170132349795e-07,3.6069773993280895e-05,0.006005811684800057,True
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.3,0.297525,mice_pmm,10,34.76259858813137,0.948682665021949,0.9525100574952233,0.0,3.619922511365812e-05,3.981914762502393e-05,0.00631024148706085,False,0.11593777203854685,0.0,8.533696199627804e-05,9.387065819590585e-05,0.009688687124471811,False,0.17593816585266492,0.0,0.000642915145710593,0.0007072066602816523,0.026593357446581513,False,0.003300000000000002,1.4259988000000001e-05,1.1133333333333349e-06,1.5484654666666668e-05,0.003935054595131644,True,0.5513130559454679,3.444967477264855e-05,1.9522843594991553e-06,3.6597187568097625e-05,0.006049560940109425,True
10,2000,/rds/general/user/sp4024/home/final_project/outputs/simulation_gmm_kmeans/synthetic_complete_standardised.csv,MCAR,0.5,0.49655,mice_pmm,10,51.75372991571203,0.948682665021949,0.8819047225485663,0.0,4.265599591221109e-05,4.6921595503432204e-05,0.006849933978034547,False,0.2605196795237049,0.0,0.0003098395363551929,0.00034082348999071226,0.018461405417538292,False,0.3837686508600671,0.0,0.0023003300071452173,0.0025303630078597392,0.050302713722618776,False,0.006580000000000005,1.4233476999999999e-05,1.248444444444448e-06,1.5606765888888893e-05,0.003950539949030878,True,0.5200095642552761,3.376453582437604e-05,1.4633708584047724e-05,4.9861615266828536e-05,0.007061275753490196,True
