ID,cohort,trt,registered,activated,cluster,totalmins,logindays,loginwks,pageviews,posts,ptp,ate,totaldays,act_wkpv,dur_wkpv,act_ptp,dur_ptp,act_ate,dur_ate,sdwkpv,sdptp,sdate,rate_wkpv,rate_ptp,rate_ate
234,4.0,,,,2,148.5333333333333,8.0,6.0,360.0,0.0,0.0,0.0,87.0,6.0,13.0,0.0,0.0,0.0,0.0,45.52569,0.0,0.0,0.46153846,0.0,0.0
238,3.0,,,,2,17.08333333333333,4.0,4.0,58.0,0.0,0.0,0.0,62.0,4.0,9.0,0.0,0.0,0.0,0.0,6.6293073,0.0,0.0,0.44444445,0.0,0.0
239,5.0,,,,2,101.7333333333333,2.0,2.0,95.0,0.0,0.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,17.676191,0.0,0.0,0.6666667,0.0,0.0
252,5.0,,,,2,15.93333333333333,5.0,4.0,95.0,0.0,0.0,0.0,46.0,4.0,7.0,0.0,0.0,0.0,0.0,12.470226,0.0,0.0,0.5714286,0.0,0.0
263,5.0,,,,2,77.94999999999999,3.0,1.0,86.0,1.0,0.0,1.0,57.0,1.0,1.0,0.0,0.0,1.0,1.0,20.270395,0.0,0.23570226,1.0,0.0,1.0
264,5.0,,,,2,2.066666666666667,1.0,1.0,18.0,0.0,0.0,0.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,4.2426405,0.0,0.0,1.0,0.0,0.0
284,4.0,,,,2,14.83333333333333,1.0,1.0,43.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,10.135198,0.0,0.0,1.0,0.0,0.0
299,4.0,,,,2,45.61666666666667,3.0,3.0,62.0,0.0,0.0,0.0,99.0,3.0,14.0,0.0,0.0,0.0,0.0,9.641956,0.0,0.0,0.21428572,0.0,0.0
303,2.0,,,,2,63.1,4.0,4.0,163.0,0.0,0.0,0.0,126.0,4.0,17.0,0.0,0.0,0.0,0.0,29.188646,0.0,0.0,0.23529412,0.0,0.0
309,2.0,,,,2,88.11666666666667,3.0,2.0,220.0,0.0,0.0,0.0,87.0,2.0,11.0,0.0,0.0,0.0,0.0,46.534267,0.0,0.0,0.18181819,0.0,0.0
314,2.0,,,,2,41.9,1.0,1.0,28.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,6.5996633,0.0,0.0,1.0,0.0,0.0
326,5.0,,,,2,140.35,6.0,4.0,73.0,0.0,0.0,0.0,42.0,4.0,7.0,0.0,0.0,0.0,0.0,9.327204,0.0,0.0,0.5714286,0.0,0.0
335,5.0,,,,2,497.9666666666667,14.0,10.0,632.0,0.0,0.0,0.0,123.0,10.0,18.0,0.0,0.0,0.0,0.0,101.44595,0.0,0.0,0.5555556,0.0,0.0
341,2.0,,,,2,11.16666666666667,1.0,1.0,8.0,0.0,0.0,0.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8856181,0.0,0.0,1.0,0.0,0.0
345,2.0,,,,2,33.46666666666667,1.0,1.0,67.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.792051,0.0,0.0,1.0,0.0,0.0
353,3.0,,,,2,2.55,1.0,1.0,3.0,0.0,0.0,0.0,45.0,1.0,1.0,0.0,0.0,0.0,0.0,0.70710677,0.0,0.0,1.0,0.0,0.0
357,3.0,,,,2,16.56666666666667,2.0,2.0,60.0,0.0,0.0,0.0,26.0,2.0,4.0,0.0,0.0,0.0,0.0,10.538445,0.0,0.0,0.5,0.0,0.0
358,5.0,,,,2,53.38333333333333,3.0,2.0,196.0,0.0,0.0,0.0,56.0,2.0,6.0,0.0,0.0,0.0,0.0,36.70693,0.0,0.0,0.33333334,0.0,0.0
360,4.0,,,,2,184.5666666666666,7.0,4.0,291.0,0.0,0.0,0.0,76.0,4.0,11.0,0.0,0.0,0.0,0.0,33.202145,0.0,0.0,0.36363637,0.0,0.0
366,4.0,,,,2,17.28333333333333,2.0,2.0,114.0,0.0,0.0,0.0,29.0,2.0,5.0,0.0,0.0,0.0,0.0,22.97825,0.0,0.0,0.4,0.0,0.0
