ID,cluster,PC1,PC2
367,2,-2.557168926528915,-0.190574385590168
369,4,10.089080782346599,-3.5130941299476866
375,2,1.0643125097999577,3.270953221961736
376,3,5.86439448809029,-0.9114556143353091
379,2,-1.5483919345931336,0.9874211780772385
392,3,1.9757877566389446,0.245939849663274
396,2,-1.60780554846651,0.9654640427746949
403,2,-2.367408595664582,0.08462014904960286
404,2,-2.2799149257903015,0.1758271887098375
407,2,-1.322461373749485,1.0450981240596697
408,5,-4.117921884302646,-1.9706184634784822
409,1,3.7738363612663313,-1.6228947410249888
413,1,2.700862382118909,0.22203706039849835
414,3,2.3743122011650297,1.2734255605189577
421,2,-2.294704031298894,0.23265054140841915
424,2,-0.8081347232290217,1.5292923630735105
428,5,-4.117921884302646,-1.9706184634784822
432,2,-0.3137075044470668,2.019692209459686
433,1,3.1278399510969996,0.157389814251764
435,2,0.02104348619092972,2.316408705063505
441,3,4.376475659352521,-0.186061981353553
445,4,7.535123160577989,-3.6432038869784744
447,5,-4.117921884302646,-1.9706184634784822
450,4,5.990776885599488,-2.124917797809129
454,2,-1.4457697826056182,0.9661030727402073
457,5,-4.117921884302646,-1.9706184634784822
460,2,-0.40598811335621593,1.9530983071452994
462,2,-0.874809381357334,1.4849661747652008
468,5,-4.117921884302646,-1.9706184634784822
470,2,-0.09268288814540006,2.2549406209728255
474,2,-0.6224974052361667,1.768109940268533
